"SP","mLL","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","iX","iY"
1,-2781523.39906509,5.53065615913384e-05,3.10609060161972e-05,0.0698693697376279,0.0408756492010654,9.17140815551848e-06,0.143237715543855,0.154191019512229,-0.203096367534879,0.00289801790987215,0,1.08648365418466,1.03832620339982
2,-2781494.68776679,5.53065615913384e-05,3.10609060161972e-05,0.0711005291606262,0.0464411392239214,0.00810829676910506,0.126437162492486,0.0439980538173545,0.160290380305138,-0.0202370037057839,0,1.08648365418466,1.03832620339982
3,-2781576.13017355,5.53065615913384e-05,3.10609060161972e-05,0.065397028845224,0.0438749702510779,0.110905626576556,-0.139199894307665,0.138011698215994,0.190584238484177,-0.00539040128685492,0,1.08648365418466,1.03832620339982
4,-2781581.79566068,5.53065615913384e-05,3.10609060161972e-05,0.0672921060737868,0.0444077426094345,0.103222829306439,-0.139638648541416,0.0716821262914931,0.193098699617307,-0.00323269394647785,0,1.08648365418466,1.03832620339982
5,-2781557.68660522,5.53065615913384e-05,3.10609060161972e-05,0.0706119770351935,0.0468449805431926,0.0860777488670921,-0.1025749714814,-0.123911355358041,0.168930557696539,0.00731695750832761,0,1.08648365418466,1.03832620339982
6,-2781534.77918134,5.53065615913384e-05,3.10609060161972e-05,0.0686161500943119,0.0469948886421718,0.0657334140762569,-0.128494455478665,0.107105010625761,-0.0532280824367787,0.00443016447233382,0,1.08648365418466,1.03832620339982
7,-2781576.3175379,5.53065615913384e-05,3.10609060161972e-05,0.067069842340255,0.0432802367810856,0.094454291898709,-0.145581806746102,0.099004917515468,0.161858743542527,-0.00652364737505325,0,1.08648365418466,1.03832620339982
8,-2781565.89624712,5.53065615913384e-05,3.10609060161972e-05,0.0672759312048963,0.0455703829447655,0.0955871050261063,-0.13522992881882,0.127795217198673,0.100843840323795,-0.002276239277424,0,1.08648365418466,1.03832620339982
9,-2781579.66305248,5.53065615913384e-05,3.10609060161972e-05,0.0664612458350222,0.0450578180389136,0.102367024587415,-0.139788016801051,0.0926075363788461,0.16610751349653,-0.00232967197746155,0,1.08648365418466,1.03832620339982
10,-2781387.12341118,5.53065615913384e-05,3.10609060161972e-05,0.067700503868947,0.0340078090095981,8.23188404658367e-06,0.152524857795088,0.0717096673372848,0.363362228281839,-0.0375422019620424,0,1.08648365418466,1.03832620339982
11,-2781581.73341847,5.53065615913384e-05,3.10609060161972e-05,0.0676464997487464,0.0442759693179795,0.101990089719793,-0.138251916388995,0.0658541818766939,0.200188019921294,-0.00354880009722381,0,1.08648365418466,1.03832620339982
12,-2781505.68609515,5.53065615913384e-05,3.10609060161972e-05,0.0703056512087307,0.0454727228694225,2.20547197726058e-07,0.12550567320636,-0.0204586330705548,0.162249863311694,-0.015738422724982,0,1.08648365418466,1.03832620339982
13,-2781504.28830834,5.53065615913384e-05,3.10609060161972e-05,0.0709140577231631,0.0454712940197403,1.14636373803115e-05,0.127504520695641,0.00492825013328882,0.157851430049088,-0.0166788570571502,0,1.08648365418466,1.03832620339982
14,-2781503.32663235,5.53065615913384e-05,3.10609060161972e-05,0.071788423141941,0.0443830695947716,0.00218319109767523,0.127297586282518,0.152437550436828,-0.120116015967786,0.000197383282271938,0,1.08648365418466,1.03832620339982
15,-2781580.78229895,5.53065615913384e-05,3.10609060161972e-05,0.0672542483387881,0.043446330588237,0.0993021270350829,-0.138380826462128,0.0774406828032723,0.204822112110402,-0.00566858971805636,0,1.08648365418466,1.03832620339982
16,-2781579.34456086,5.53065615913384e-05,3.10609060161972e-05,0.0681620881881228,0.0452969526995055,0.0949357690066032,-0.137165210610304,0.0440322231114019,0.172950513724455,-0.00238730378326251,0,1.08648365418466,1.03832620339982
17,-2781569.15535835,5.53065615913384e-05,3.10609060161972e-05,0.066585968463627,0.0440708281852062,0.0964771564549396,-0.123808965641913,-0.0735901606930085,0.177879339087726,0.00755582867339125,0,1.08648365418466,1.03832620339982
18,-2781470.27612271,5.53065615913384e-05,3.10609060161972e-05,0.0730532849510728,0.0433742319436356,0.0105432069914762,0.168193464205453,-0.0930957234087415,0.112414018342553,-0.00639006097435374,0,1.08648365418466,1.03832620339982
19,-2781502.61894544,5.53065615913384e-05,3.10609060161972e-05,0.0713435428162678,0.043990974986713,4.49323612304209e-06,0.134431118222991,-0.0610555004244824,0.206182056006313,-0.0157611723722506,0,1.08648365418466,1.03832620339982
20,-2781503.16726252,5.53065615913384e-05,3.10609060161972e-05,0.0686410186638126,0.0462790834650139,0.00412399614337166,0.122894862433989,-0.0983659369204152,0.187178074640885,-0.0142039154609925,0,1.08648365418466,1.03832620339982
21,-2781485.06836579,5.53065615913384e-05,3.10609060161972e-05,0.0716206238063429,0.0446628334938385,4.99357552370947e-06,0.135110592047302,0.126126624110824,0.00815894393618412,-0.0133179925414726,0,1.08648365418466,1.03832620339982
22,-2781487.73064782,5.53065615913384e-05,3.10609060161972e-05,0.0720559098732168,0.0444760975672524,9.58834056095813e-06,0.131256963818775,0.100380441777616,0.0261173407729013,-0.0116999671381264,0,1.08648365418466,1.03832620339982
23,-2781167.92934059,5.53065615913384e-05,3.10609060161972e-05,0.0584573981146429,0.0205693622841915,1.41570304672568e-06,0.11892071263149,-0.312588997224331,0.742906601235037,-0.0194606136210099,0,1.08648365418466,1.03832620339982
24,-2781501.40099995,5.53065615913384e-05,3.10609060161972e-05,0.0711359281898507,0.045116899753133,3.74282170978061e-06,0.127514393967107,0.0406898464273394,0.154159191608488,-0.0184336457766233,0,1.08648365418466,1.03832620339982
25,-2781498.70438842,5.53065615913384e-05,3.10609060161972e-05,0.0705545403103902,0.0461101259748685,1.21307237366508e-06,0.128726620255201,0.050352764454058,0.107517580394932,-0.0158106541361101,0,1.08648365418466,1.03832620339982
26,-2781580.8350731,5.53065615913384e-05,3.10609060161972e-05,0.0667243543528601,0.0423581832590091,0.107260508427782,-0.142917532817406,0.0588694699523695,0.218514692802223,-0.00258067233476089,0,1.08648365418466,1.03832620339982
27,-2781444.73517712,5.53065615913384e-05,3.10609060161972e-05,0.0708174764102594,0.0445350435582921,1.55498165938738e-05,0.125585507591858,0.222072483709626,0.172086288408908,-0.0302255241348019,0,1.08648365418466,1.03832620339982
