"SP","mLL","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","iX","iY"
1,-572399.03697893,6.35683482257143e-05,6.38271730387944e-05,0.0333090145788469,0.0113903019345472,0.064381464861232,-0.0238479530868051,-0.110838291965486,0.285849312635424,0.0393340085864175,0,1.06293545825152,1.11124239018198
2,-572408.36404714,6.35683482257143e-05,6.38271730387944e-05,0.0325356083990785,0.011729145349305,0.0502105486713784,-0.0100710338654347,-0.112731149518041,0.214668202298629,0.0233031581154693,0,1.06293545825152,1.11124239018198
3,-572410.003349657,6.35683482257143e-05,6.38271730387944e-05,0.0324875281469558,0.0120390072991167,0.0501369670814405,-0.0122985102459002,-0.112327379498278,0.149623276757501,0.0272473074028359,0,1.06293545825152,1.11124239018198
4,-572381.957266207,6.35683482257143e-05,6.38271730387944e-05,0.0344397553513397,0.011620226834808,1.03267106863806e-05,0.0262643812224497,-0.0590337918078107,0.315096182769535,-0.00075019641063898,0,1.06293545825152,1.11124239018198
5,-572400.499249149,6.35683482257143e-05,6.38271730387944e-05,0.0318974483618315,0.0119997704238552,0.0719449309826168,-0.00472406980580459,-0.11127572725618,0.153953562174296,0.040680036017218,0,1.06293545825152,1.11124239018198
6,-572377.535742402,6.35683482257143e-05,6.38271730387944e-05,0.0324323829242909,0.0115426625049468,0.0629947997265507,-0.0359420948748413,0.0416334227401803,0.0869054565584282,0.0154378082563508,0,1.06293545825152,1.11124239018198
7,-572259.598791919,6.35683482257143e-05,6.38271730387944e-05,0.0283753818171355,0.00901298461129596,0.0891300406344834,-0.0270071738075579,-0.156902226237305,0.731691029888759,0.0251692171700997,0,1.06293545825152,1.11124239018198
8,-572407.597824086,6.35683482257143e-05,6.38271730387944e-05,0.0343209779820474,0.0113462773893308,0.0340177816404211,0.0213222150672204,-0.130667766500321,-0.0782713630595353,0.0323833566379096,0,1.06293545825152,1.11124239018198
9,-572408.727805794,6.35683482257143e-05,6.38271730387944e-05,0.0324092512738453,0.0118922260342926,0.0569324283317289,-0.0137263825083101,-0.107796585002789,0.207742494963292,0.0221149570744815,0,1.06293545825152,1.11124239018198
10,-572411.600986884,6.35683482257143e-05,6.38271730387944e-05,0.033559818719545,0.011966359727526,0.0476957096510497,0.0158553503898663,-0.115494242670322,-0.175225373829687,0.0357025006235393,0,1.06293545825152,1.11124239018198
