"mLL","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","start_ind","end_ind"
-3476510.74795122,0.0296906454815875,0.0202744511202301,0.0429640093732045,-0.0166905884405953,-0.152450892639366,-0.196246004144796,0.0292611201428932,0,1,2298
-3477297.06716433,0.0298407894733835,0.0200718540632048,0.0413114151082883,-0.0159090204317907,-0.155021182407192,-0.203440171143537,0.029622184180376,0,2299,4596
-3477145.75730948,0.0303720847094833,0.0200620187670575,0.0400561065614018,-0.0176815381771774,-0.154957726240061,-0.195146791369748,0.0293548114744241,0,4597,6894
-3476643.00681446,0.0301131759789755,0.0202162463123678,0.0428382067474437,-0.0172408462378457,-0.153055517147774,-0.194099780518619,0.0295728821176831,0,6895,9192
-3476744.66642132,0.0301851458531117,0.0203464803441087,0.0437282269158215,-0.0191041418665403,-0.15140696747321,-0.19285789189077,0.0303584745788077,0,9193,11490
-3476591.98538959,0.0300437470306093,0.0203545646641911,0.044473579836517,-0.0171405960400771,-0.152008519347547,-0.188090788624934,0.0297360171141023,0,11491,13788
-3477042.20392588,0.0304493104598804,0.0203868304429107,0.0419824910220202,-0.0177157331492047,-0.154611007374406,-0.190498112411478,0.0305151109134321,0,13789,16086
-3476754.30208576,0.0301569674177699,0.0202198061915058,0.0439995917123465,-0.0169502494430489,-0.154119063028192,-0.188576737127616,0.029516643746694,0,16087,18384
-3477372.43642439,0.0297106581276589,0.0201796646736068,0.0419058461148683,-0.0169311933404395,-0.152585867177067,-0.19795825229387,0.0301883048750632,0,18385,20682
-3477112.74295056,0.0299983700210099,0.0201835573858191,0.0437341899693351,-0.0184220934866399,-0.151087890372713,-0.194375288582632,0.028674200094284,0,20683,22980
-3476915.37782276,0.0300300057355639,0.0202910465382567,0.0440033429971419,-0.0168828202419755,-0.155415047243913,-0.192460477529584,0.0289114928989739,0,22981,25278
-3477440.55411478,0.0301577711650949,0.0203741005981842,0.0444318951366811,-0.0171144575674157,-0.154229070093257,-0.190568915457142,0.030405344998511,0,25279,27576
-3477157.71951502,0.0301879273464323,0.019711834945418,0.0411895893513775,-0.0166108802565599,-0.153485600533084,-0.205285070525802,0.0294889817568378,0,27577,29874
-3476792.06859677,0.0300474088235266,0.0201716535715888,0.0462781684615151,-0.0176095272322826,-0.155841250079072,-0.184244251653155,0.0299063034081817,0,29875,32172
-3476949.35386272,0.030043661629494,0.0202216620024078,0.0420698429274948,-0.017389186425992,-0.149664526843614,-0.196559321890893,0.028692957597308,0,32173,34470
-3476854.01409305,0.0301071132455523,0.0201146555396371,0.0441942762126141,-0.0168912180723354,-0.154032072591787,-0.189141245309972,0.0294964520474164,0,34471,36768
-3476501.98071586,0.0301491287172707,0.0200871112370634,0.0431631048941164,-0.0173218723543457,-0.151481736297204,-0.191875704112317,0.0290668146592243,0,36769,39066
-3477149.13643712,0.0299061613671721,0.0201908835868866,0.0442854005303217,-0.0166262603233989,-0.156974739541632,-0.187541043721229,0.0286748723699064,0,39067,41364
-3477185.4875699,0.030039977730091,0.020177296283521,0.0437492648777348,-0.0167582977417577,-0.154242225771403,-0.190087749784448,0.0292023792429026,0,41365,43662
-3477507.98740801,0.0302255397846312,0.0199323942639322,0.0392221556254072,-0.0178632892759332,-0.154095359078632,-0.205732596141688,0.0302989156211407,0,43663,45960
-3477029.1161403,0.0299522507654023,0.0201896967243353,0.0429429905902022,-0.0195943918303127,-0.153750767491216,-0.193340544289468,0.0307739516056837,0,45961,48258
-3477094.20458232,0.0299277535043225,0.020189091528084,0.0443291908342484,-0.0157711294748028,-0.15699733932907,-0.19673156100144,0.0303351985577512,0,48259,50556
-3477404.16700277,0.0302855549054157,0.0203739639783442,0.0439316507353873,-0.0162770134123014,-0.152344033664088,-0.190908291874051,0.0290525651317086,0,50557,52854
-3477287.3465194,0.0301163263990105,0.0200952553285239,0.044002647951596,-0.0152662267845671,-0.151955619570321,-0.192567103744869,0.0282959030838463,0,52855,55152
-3477313.23346021,0.0300471269388166,0.0200004792950649,0.0451791771127021,-0.017116693258096,-0.155315957427394,-0.183519792947922,0.028606705266241,0,55153,57450
-3476860.72404208,0.0301307519933648,0.0201882152355329,0.0453652950678202,-0.0158835657219417,-0.154364258522843,-0.195669645124262,0.0305356234182756,0,57451,59748
-3477362.43830199,0.0300514882563943,0.0199947398918291,0.0410040623883957,-0.0183898118567034,-0.153808929180238,-0.200557769997221,0.0297733030319418,0,59749,62046
-3476854.46876472,0.0301733204736531,0.0203366923568585,0.0428985652704579,-0.0172115530005461,-0.152491216214609,-0.191697494183131,0.0292062724084006,0,62047,64344
-3477103.51895645,0.0303481316659271,0.020315460331518,0.0430195206403043,-0.0177934221870391,-0.152958458246647,-0.188958524537785,0.0299380145683876,0,64345,66642
-3477422.59220443,0.0300503539340142,0.0202150482372713,0.0445096055674618,-0.016821112450803,-0.1509027174998,-0.177811368520706,0.0285656853328626,0,66643,68940
-3476977.81852013,0.030274329498499,0.0202465486444854,0.0434198294831816,-0.0159035531627664,-0.153603392412401,-0.192165389515784,0.029432755206421,0,68941,71238
-3476572.8075695,0.030273437477544,0.0202245696809571,0.0431984533974651,-0.0178439425932417,-0.149725800892851,-0.188212342903267,0.0284594631176837,0,71239,73536
-3476640.19593334,0.0299988783932251,0.0200036602165062,0.0426627987320159,-0.0175200062024969,-0.152901557188163,-0.197620523242178,0.0288433728106193,0,73537,75834
-3476376.17194701,0.0300668401130598,0.0201347159085902,0.0462446716921225,-0.014935277188541,-0.158671485315255,-0.186765586019465,0.0297159143272102,0,75835,78132
-3476741.64984447,0.030135232082881,0.0202962970499038,0.0441605033541679,-0.0161422569888865,-0.154680797754683,-0.190137904966839,0.0290403055269639,0,78133,80430
-3477102.98096727,0.0299259777277775,0.0201183881342609,0.0423826509355831,-0.0168364889717492,-0.152013586714278,-0.203885167851219,0.0299392384086124,0,80431,82728
-3477950.18709929,0.0298165965230274,0.0200988157349454,0.0407292208028101,-0.0148849018667778,-0.154198113057974,-0.204858062509991,0.0294520212391576,0,82729,85026
-3477140.01813602,0.0297810902114774,0.0200371528793032,0.04262009013015,-0.0166956562940125,-0.156585419169742,-0.19388272565671,0.0295987917362276,0,85027,87324
-3476941.97757182,0.0304113140874846,0.0202818672099877,0.0444096019865508,-0.0164525239464174,-0.151875861561554,-0.190402358612868,0.0289065845141144,0,87325,89622
-3477576.76561621,0.0306599822250378,0.0202989830239367,0.044798427297523,-0.022422144519959,-0.155422014367067,-0.183249579538814,0.0311255913683869,0,89623,91920
-3477262.94978774,0.0301611227336849,0.0202375190420071,0.0416957421929752,-0.0187254589668966,-0.154114928541447,-0.189170586421424,0.0290909042127023,0,91921,94218
-3476778.70858468,0.0301613450523054,0.0202777312173439,0.0461080726924397,-0.0166477863187958,-0.156838963678891,-0.18263470400705,0.0298473400921929,0,94219,96516
-3477311.80650177,0.0303592773913764,0.0201398218777168,0.0403531614780219,-0.0166083426876109,-0.153332699018,-0.200776222827756,0.0294746583099348,0,96517,98814
-3476704.04853154,0.0302319141771206,0.0202076306435595,0.0434562528109309,-0.0176216146747827,-0.155200002424025,-0.193136842440566,0.0302065642069878,0,98815,101112
-3477114.42503038,0.0301461303506762,0.0203750772905809,0.0474308644816071,-0.0172748192544568,-0.157361550962138,-0.187078829909292,0.0311586038079447,0,101113,103410
-3477062.84236126,0.0300265182305169,0.0202649401407443,0.0439213194557428,-0.0181394844262772,-0.153678617233653,-0.188939190457567,0.0295482796471536,0,103411,105708
-3476496.64140383,0.0300436051876946,0.0202023029295954,0.0442229763449038,-0.0168681914021577,-0.151669873792643,-0.189610460029395,0.0291562143155895,0,105709,108006
-3476816.81892075,0.0300326633378231,0.0201576169286608,0.0433027436443752,-0.0168067264700517,-0.152577542912989,-0.192144110788709,0.0292735129447367,0,108007,110304
-3476887.57255612,0.0301646156786279,0.0202035062367847,0.0429799851277157,-0.0169352646032372,-0.153105053712445,-0.19510182564606,0.0293694382085221,0,110305,112602
-3476753.7598384,0.0302615386669136,0.0201837734248319,0.042455335076247,-0.0178703425364017,-0.15243709907292,-0.19541868209227,0.0299344965620735,0,112603,114900
-3476852.84852365,0.0301660563104319,0.0203712170927008,0.0454237409069609,-0.0175582867612959,-0.153344170863298,-0.191559187009709,0.0296430598647588,0,114901,117198
-3477595.59953748,0.0297490663987971,0.0202040310073485,0.0424972053625392,-0.0188506966708687,-0.161527230708901,-0.196620225055497,0.0300598469856429,0,117199,119496
-3477252.11341659,0.0302585052277621,0.0202813456671127,0.0423474530268192,-0.0178609442164454,-0.155463991248803,-0.189776837385062,0.0292444189086805,0,119497,121794
-3477095.72264923,0.0302874571371014,0.0202675500787295,0.04300999962884,-0.018251526854791,-0.154475962436577,-0.191155752218199,0.0301353905745969,0,121795,124092
-3477366.26375746,0.0301637525602221,0.020169875756798,0.042591007953279,-0.0187390030533552,-0.155850130130073,-0.19086458118451,0.0288882647982556,0,124093,126390
-3477433.77988193,0.0300971569924499,0.0201627653582986,0.0460343690828072,-0.0188028764254721,-0.158672190903332,-0.186218388315744,0.0304012942164359,0,126391,128688
-3476943.04953152,0.0302297325437405,0.0202387021488468,0.0457167687263089,-0.0167525028385788,-0.154347630791008,-0.187950082028723,0.0290649635557239,0,128689,130986
-3477176.65657497,0.0302306269070744,0.0202050475499689,0.0449420644350862,-0.0169627679618164,-0.155074438222918,-0.189732063260941,0.0292352275518857,0,130987,133284
-3476779.48028633,0.0301916537690648,0.0202904130931463,0.0445219880980897,-0.0187016431897876,-0.154637533601971,-0.184878367116731,0.0297895545331067,0,133285,135582
-3477018.65524557,0.0301726519815536,0.0202736531596997,0.0430153029833865,-0.0172675324280167,-0.154034538989577,-0.189719056215719,0.0289771524148739,0,135583,137880
-3476949.78374354,0.0302964383553512,0.0202388729981174,0.0444421942173793,-0.0165519878267236,-0.15613640742193,-0.187003280222862,0.0296948062956244,0,137881,140178
-3476526.27392617,0.0301090135900382,0.0202936470105344,0.0456518914010872,-0.0167818515116689,-0.15370807000869,-0.186814293946623,0.0290919251364526,0,140179,142476
-3476072.14439821,0.0301773338728572,0.020139519915956,0.0452461308933303,-0.0175725352089476,-0.155402970812462,-0.189292093450973,0.0299456606759435,0,142477,144774
-3476433.43987568,0.0300530888524415,0.0202177792585787,0.0455599597082588,-0.0176409686601185,-0.15563250969213,-0.185581410001698,0.0296560671319409,0,144775,147072
-3476990.75152372,0.0303059930829283,0.0203528345906896,0.0444427846939492,-0.016891952709057,-0.153775679093932,-0.18600752841572,0.0295743364749095,0,147073,149370
-3476796.93457683,0.0302948025966698,0.0203245302854225,0.0436956546270037,-0.0187838887235698,-0.154515225861656,-0.188697314073594,0.0294360081385181,0,149371,151668
-3477718.94825612,0.0300211079086447,0.0203522268400562,0.0497272246355737,-0.0141170646484641,-0.159830590649669,-0.186230092540294,0.0294118528117695,0,151669,153966
-3477306.62362346,0.0298847617335878,0.0200491946147359,0.0450036248883604,-0.017366968050919,-0.154002134225677,-0.188558064887634,0.0303214296643624,0,153967,156264
-3476951.88632693,0.0300096788195944,0.0202782816435489,0.0438168736086505,-0.0179173458128283,-0.153554498190571,-0.188135823016226,0.0296080583769667,0,156265,158562
-3477258.02977385,0.0300205121872594,0.0198323214425516,0.0456728748912405,-0.0169392981066739,-0.153660103477743,-0.199176017438323,0.0290055277671412,0,158563,160860
-3477352.46532445,0.0304081103149384,0.0202483655804384,0.0410200942541944,-0.0187010426199336,-0.155748413081602,-0.190874192817012,0.0299687138348318,0,160861,163158
-3477151.37915619,0.0299517999317766,0.0202900372363309,0.041598206364131,-0.0175644626804897,-0.154421666174933,-0.193705435780332,0.029358739588144,0,163159,165456
-3477779.16803666,0.0305039324807973,0.0199939246891106,0.0402919521492758,-0.0135699265907887,-0.151618162561041,-0.193108060195963,0.0279822350993394,0,165457,167754
-3477032.75123318,0.0301827793684028,0.0201787803164909,0.0431716998263885,-0.0174323063370068,-0.151803426769133,-0.194632994996125,0.0298946113974853,0,167755,170052
-3476912.28363382,0.0302698205133352,0.0201325513157948,0.0434283786233032,-0.0178265640752366,-0.154493206377662,-0.188037056525391,0.029032724874364,0,170053,172350
-3476380.40150227,0.0298590164438044,0.0200632403724411,0.0432721838318515,-0.0181066347745836,-0.153399807866717,-0.188442831310464,0.0287342826488207,0,172351,174648
-3476176.76840979,0.0301400813268751,0.0203341595191388,0.0449506345170772,-0.0164411993132911,-0.150599339233878,-0.193674264033185,0.0295090027181459,0,174649,176946
-3477333.5564064,0.0294793765265019,0.0199915577928382,0.0428629749920201,-0.0165442513981502,-0.158323114240008,-0.200333151540153,0.0301414034884103,0,176947,179244
-3478259.59561047,0.0299895669929217,0.0196635152872362,0.0417078328816739,-0.0145311602072037,-0.154269856260404,-0.194944352604845,0.0288768953039327,0,179245,181542
-3477457.88442432,0.030380084378684,0.0199320826828524,0.0451578306860331,-0.0174455349796543,-0.153086026196366,-0.182617587655685,0.0288756558873568,0,181543,183840
-3477751.20485805,0.0297671979598095,0.0203328405662307,0.0488165335935473,-0.0151764854457791,-0.152572004432646,-0.196203388261726,0.0305608482336397,0,183841,186138
-3477663.78922397,0.0302684976779964,0.0202528538881549,0.0429843759839368,-0.0168428811682991,-0.154025635929063,-0.192652436348457,0.0294192717442149,0,186139,188436
-3477040.47040491,0.0304237236518507,0.0203492582446005,0.0437837488823984,-0.0182829209009007,-0.151645093188507,-0.190354228336633,0.029815971111508,0,188437,190734
-3477095.74102203,0.0300845605253947,0.0202247309918228,0.0447700800504474,-0.0165828507445465,-0.1542064065386,-0.192677684741305,0.0290499724662974,0,190735,193032
-3477167.0606297,0.0300412345822143,0.0201287961577934,0.0438795063274117,-0.0183264945173401,-0.156759199785368,-0.192577907109783,0.0293825367402244,0,193033,195330
-3476922.26893366,0.0301415338279844,0.0202062762548683,0.0454756384313287,-0.0183968806905472,-0.154000693152996,-0.19235830641106,0.0304898751339145,0,195331,197628
-3477105.5451897,0.0299702132668162,0.0201869756769805,0.0400950302698313,-0.0192316863982333,-0.152486736830876,-0.193158876715911,0.029605949546533,0,197629,199926
-3476523.55411841,0.0302028324767143,0.0202331180065681,0.0435835428809335,-0.0170690313373179,-0.151576151000719,-0.19271212008758,0.0292972626284673,0,199927,202224
-3476597.38014477,0.0300136405426298,0.0202725729369425,0.0425087337791571,-0.0181768678738502,-0.152372487702111,-0.19447370646216,0.0287634693469903,0,202225,204522
-3477032.08058045,0.0301849652656252,0.0201294423794334,0.0439072688510874,-0.0180060602292056,-0.156227096280425,-0.185861087142457,0.0291127551485763,0,204523,206820
-3476779.63312414,0.0301740549403802,0.0200223875588378,0.0450444676935071,-0.016105525856288,-0.156523759732464,-0.190203009592848,0.0294275704691624,0,206821,209118
-3476841.0974891,0.0300195319922615,0.0200315381519577,0.0443055589819632,-0.0178910514159532,-0.154403021193637,-0.191596863071568,0.0289583689672837,0,209119,211416
-3477240.75726948,0.0296803357419902,0.0199085030057754,0.0429876199706206,-0.0172508136359559,-0.152946627127487,-0.199562231891444,0.0292456628152488,0,211417,213714
-3477733.66467036,0.0302140899480039,0.0201984218653148,0.0411241627549948,-0.0186930804810887,-0.15434391398838,-0.194278750461498,0.0294527019263017,0,213715,216012
-3477329.88534062,0.0305986766442669,0.0202677027951999,0.0408643926317993,-0.01776528653835,-0.153472767586226,-0.188641215804538,0.0295481874141439,0,216013,218310
-3476851.12409311,0.0301151138065724,0.0203443601856571,0.0458383169275381,-0.0171817315971746,-0.158393879535034,-0.185210109983607,0.029966999694001,0,218311,220608
-3477224.39716922,0.0298386253934848,0.0197547601322612,0.0435202562634155,-0.0169769841308521,-0.156057946955492,-0.196261451762272,0.0295538588972496,0,220609,222906
-3477066.75729722,0.0294356629112449,0.0201495204501946,0.0465482018905153,-0.015685361826552,-0.155601465297538,-0.187383980908287,0.0285977768974591,0,222907,225204
-3477202.37332929,0.0296449349574044,0.0203026484859019,0.043237158395487,-0.01937421843691,-0.155812253636193,-0.192598022327884,0.0295998105432568,0,225205,227502
-3476830.03045798,0.0300929475174693,0.0202460874793186,0.0444401058715855,-0.0172136555239262,-0.15261852033758,-0.185399796016364,0.0296284814221427,0,227503,229800
-3476508.02912529,0.0301956734197863,0.0201904423102243,0.0436795353095125,-0.0176623618902931,-0.153109281802643,-0.191769322753968,0.030017920682955,0,229801,232098
-3478623.59909473,0.0294011566036347,0.0200296812192842,0.0357912651324489,-0.0166346246068601,-0.142913532488251,-0.186330608964363,0.0291931541155903,0,232099,234396
-3476693.10095012,0.0301031479214675,0.0202964463470717,0.0445678346308981,-0.0158603148365649,-0.155317450172916,-0.190959494747208,0.0290230703053391,0,234397,236694
-3477142.37697187,0.0297093434996757,0.0199901719544888,0.04697384348073,-0.0169820508992015,-0.157982957962116,-0.179596676315087,0.0298731154215123,0,236695,238992
-3477538.01223766,0.0300887600134039,0.0201436650376642,0.0473401438363641,-0.0176244023948655,-0.15655625200321,-0.183309549938157,0.0301930867176795,0,238993,241290
-3477319.66447763,0.0301579750623749,0.0202031994679179,0.0404138601449499,-0.0168308078356612,-0.153220481695077,-0.196999035082569,0.029782983293706,0,241291,243588
-3476600.62452421,0.0301263937289414,0.0202251343812794,0.0483934050107614,-0.0170785018864637,-0.156755569393818,-0.183658752585383,0.0296077677114188,0,243589,245886
-3477202.10478785,0.0302416065839334,0.0200545564853575,0.0472078119835901,-0.0180527697581435,-0.154922055613362,-0.184843348224518,0.0300793302352499,0,245887,248184
-3476981.20608462,0.0300835499852821,0.0202060684575747,0.0447603635013791,-0.0189162702172385,-0.153686367580255,-0.185864264148114,0.0298100690652463,0,248185,250482
-3477024.1859435,0.0301956245758443,0.0203050764728504,0.0442491679154842,-0.0174516789123487,-0.152980279157098,-0.190511496062366,0.0298145867708005,0,250483,252780
-3476794.1219392,0.0300162052027712,0.0201586889162498,0.042756342772702,-0.0167354681826616,-0.153890846914168,-0.193413512774151,0.0295600635082462,0,252781,255078
-3476471.66485672,0.0302397392890151,0.0201892188598575,0.0443430643392255,-0.0176757327186948,-0.155330096620336,-0.189694935851027,0.0296422807409445,0,255079,257376
-3476873.84277035,0.0300166422681305,0.0202215893989761,0.0471725158407338,-0.0165439725715008,-0.15782427504746,-0.18641403208969,0.0294833723670869,0,257377,259674
-3476810.92944131,0.0303384720615268,0.0201983368875469,0.0428900067433331,-0.0184487079493657,-0.151546225326149,-0.193503419307523,0.0295646804409238,0,259675,261972
