"mLL","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","start_ind","end_ind"
-1780854.12487342,0.0299238365717983,0.0180898558301351,0.0622255686751156,0.0349647181088159,-0.180087447740242,-0.170419020073508,0.00948531141200551,0,1,1208
-1781195.38501426,0.030487155008092,0.0181039519192843,0.0611602106476285,0.030272677767414,-0.173469618117709,-0.179448248392996,0.0104787137121583,0,1209,2416
-1781542.30104736,0.0305748283005047,0.0178246400895509,0.0557264153021486,0.0316072269578472,-0.17666539662665,-0.1659767838956,0.0113893863716957,0,2417,3624
-1780854.51815046,0.0303027594814851,0.0180658833928549,0.0594153631478927,0.0346297723651123,-0.175022394842669,-0.173328514033914,0.0107421600647976,0,3625,4832
-1781139.50442219,0.0306715494130657,0.0179951360062456,0.0589010276398167,0.0375473256479336,-0.174802626882447,-0.171530958601929,0.0103551842440766,0,4833,6040
-1781034.31471968,0.0305794072516632,0.018105109710668,0.0594722190132881,0.0347336395637822,-0.177030559489794,-0.170506528232892,0.00953166471437035,0,6041,7248
-1781062.95731792,0.0303917900406187,0.018196438631084,0.0607768224143371,0.0337674402178417,-0.176175884382671,-0.171532984260431,0.0101762944081419,0,7249,8456
-1780888.79036361,0.0305129825034652,0.0181704241093202,0.0613045760870171,0.0330575474894192,-0.175839384307577,-0.172750117594744,0.0105304429100297,0,8457,9664
-1781389.83462169,0.0300338904328362,0.0176559584409591,0.0586341295868377,0.0351893955066824,-0.176244443761473,-0.16961174345344,0.0105922083162533,0,9665,10872
-1781219.73618635,0.0303195284667015,0.0181383810859578,0.0607475350471702,0.0315254811098826,-0.17650490297464,-0.169822374515388,0.0109686367558207,0,10873,12080
-1781030.73760875,0.0304947420276271,0.0181171479940334,0.0615862881415246,0.0366331782004379,-0.175564998145248,-0.173348045575612,0.00939721024415634,0,12081,13288
-1781430.80034883,0.0304333480097619,0.0182459084741621,0.061405921145747,0.0327881519423004,-0.175365915703914,-0.17118301049405,0.00963433195228547,0,13289,14496
-1781176.85571419,0.0302615535757076,0.0175330840432852,0.0607262688350064,0.0311197983310911,-0.175067125892053,-0.181167432453247,0.01045033277626,0,14497,15704
-1781218.70608355,0.0306419240517266,0.0180896004354101,0.0606368030697687,0.0324638187721185,-0.176126522778724,-0.167451032719122,0.0107329836066775,0,15705,16912
-1780860.54048933,0.0304362446137015,0.0181053708288376,0.0621050377193822,0.0327960687241354,-0.174823024141131,-0.16727125566569,0.0091552434847228,0,16913,18120
-1780986.08117776,0.03037064182876,0.0180583238202773,0.0617207794069058,0.0328148673506931,-0.176699662033756,-0.169979587687783,0.00973579708847143,0,18121,19328
-1780813.92192677,0.0305191311269204,0.0179292700290409,0.0606972305103592,0.0340307785595421,-0.174902264524893,-0.174037875634175,0.0100200037367178,0,19329,20536
-1781185.38446839,0.0305485249592427,0.0180705599854237,0.0571730960059904,0.0328768969076644,-0.176548300140652,-0.168598972409869,0.00920208467277694,0,20537,21744
-1781439.95896524,0.0291538319989643,0.0180707536165139,0.0619350006105871,0.0312360747734326,-0.151822076974752,-0.175049584988614,0.00883040080759868,0,21745,22952
-1780998.05692346,0.0305308607320458,0.0181538402442146,0.0656488595445648,0.0352528849687115,-0.17752655306844,-0.166557716960651,0.00987137401534088,0,22953,24160
-1781036.08182138,0.0304283061369176,0.0182180067208219,0.0620844627283793,0.0341753741012792,-0.175218484909573,-0.170160680160518,0.00972289184479256,0,24161,25368
-1781102.5244502,0.030435001263937,0.0180205897945753,0.0627540461276389,0.0358543707529371,-0.176986276594357,-0.169809587121152,0.010421149012322,0,25369,26576
-1781172.89997116,0.0305061121414848,0.0179883196992634,0.0625145432400167,0.0319912754025924,-0.176118434518359,-0.168197062211214,0.00990879137412076,0,26577,27784
-1781297.97539374,0.0301921456553132,0.0181224223585316,0.0612182140549071,0.0343875675964203,-0.176665544673434,-0.165582411505147,0.00934224124149616,0,27785,28992
-1781231.81550004,0.0306320507090133,0.0172067723704627,0.0625263875289226,0.0350416244416811,-0.177467756421618,-0.168059287774026,0.0105419979556809,0,28993,30200
-1780936.15829276,0.0304461060727964,0.0182425280539927,0.0611275834864823,0.0344405212734859,-0.176109445749732,-0.17081221718236,0.00988701345981838,0,30201,31408
-1781413.40841718,0.0305080894188041,0.0179772484516263,0.0586228692866426,0.0321665325772594,-0.17490372838997,-0.158485882204797,0.0106434038269916,0,31409,32616
-1781067.72522712,0.030598565948418,0.0181878253498092,0.059849739739629,0.0344515513339144,-0.175547536037614,-0.174353017366085,0.0112430329757593,0,32617,33824
-1781323.15336994,0.0307472954897744,0.0180492812674063,0.060832882854528,0.0372337533296773,-0.174400494874546,-0.174822502107594,0.0110449711637061,0,33825,35032
-1781253.09393428,0.0306090244629463,0.0176528495361855,0.0622617470885999,0.0330596209835001,-0.174483609286479,-0.178022897126931,0.0105778965176987,0,35033,36240
-1780924.31199522,0.0304664604094001,0.018126369766658,0.0612749562431575,0.0345385566059365,-0.174862486788822,-0.171589428774103,0.0100782245255389,0,36241,37448
-1780951.55996952,0.030398147192027,0.0179591835224674,0.0602065649027984,0.0329897877057565,-0.174586673277387,-0.175828042147762,0.0106805781891459,0,37449,38656
-1780777.05946961,0.0306981020692651,0.018017544192954,0.0605344555036179,0.0333454907569302,-0.175675809699696,-0.168267850088404,0.00985736965594203,0,38657,39864
-1780953.36037428,0.0305167733701539,0.017987388722445,0.0605877851388644,0.0340071993342088,-0.174609264797352,-0.167977659149682,0.0102265764447749,0,39865,41072
-1781022.71828012,0.0305454682303377,0.0181140116457861,0.0608914252949281,0.0341832849607463,-0.175936552360658,-0.170567810284384,0.0106409984990832,0,41073,42280
-1781766.16287987,0.0294751242234534,0.0180556365013546,0.0611136542312926,0.0340007006498322,-0.170863661529292,-0.158889643235926,0.0104432716939696,0,42281,43488
-1780989.57205959,0.0305758210009745,0.0180290676436286,0.0623795988857582,0.032020794811392,-0.174593432262286,-0.166856871257617,0.00932698836295825,0,43489,44696
-1780930.07884094,0.0306107361304819,0.0181017744505006,0.0627997126066812,0.0330873509513187,-0.175859802957096,-0.169227903260849,0.00988342550211119,0,44697,45904
-1781597.5019867,0.0308319059610746,0.0180465015771453,0.0591632009727542,0.0389568059843024,-0.173296598100244,-0.17191818617158,0.00859349289736771,0,45905,47112
