trait_1	trait_2	genetic_cor	standard_error	P-value
Hagg_mtDNAcn	Longchamps_mtDNAcn	0.6877	0.1071	1.3541e-10
Hagg_mtDNAcn	Gupta_mtDNAcn	0.9038	0.1074	3.9963e-17
Hagg_mtDNAcn	Chong_mtDNAcn	0.6625	0.1246	1.053e-07
Hagg_mtDNAcn	AD_Kunkle	0.0875	0.0872	0.31548
Hagg_mtDNAcn	AD_Bellenguez	0.1069	0.0747	0.15226
Hagg_mtDNAcn	PD_Nalls	0.0094	0.0787	0.90443
Longchamps_mtDNAcn	Gupta_mtDNAcn	0.6835	0.0778	1.5315e-18
Longchamps_mtDNAcn	Chong_mtDNAcn	0.8836	0.1227	6.0487e-13
Longchamps_mtDNAcn	AD_Kunkle	-0.0715	0.0614	0.2445
Longchamps_mtDNAcn	AD_Bellenguez	-0.0162	0.0525	0.75677
Longchamps_mtDNAcn	PD_Nalls	0.0533	0.053	0.31442
Gupta_mtDNAcn	Chong_mtDNAcn	0.6628	0.0881	5.3625e-14
Gupta_mtDNAcn	AD_Kunkle	-0.0395	0.076	0.60353
Gupta_mtDNAcn	AD_Bellenguez	0.011	0.0557	0.84287
Gupta_mtDNAcn	PD_Nalls	0.0867	0.0568	0.12679
Chong_mtDNAcn	AD_Kunkle	0.0319	0.0677	0.63768
Chong_mtDNAcn	AD_Bellenguez	0.0033	0.0608	0.95719
Chong_mtDNAcn	PD_Nalls	-0.0481	0.0596	0.41976
AD_Kunkle	AD_Bellenguez	0.9523	0.1478	1.1707e-10
AD_Kunkle	PD_Nalls	-0.0395	0.079	0.61722
AD_Bellenguez	PD_Nalls	0.2103	0.0663	0.0015136
