trait_1	trait_2	Pearson_correlation	se_rho	pvalue_corrected	rg.p_cat
Hagg	Hagg	NA	NA	NA	NA
Longchamps	Hagg	0.4697384767066816	0.002146121	1.726886845784911e-12	1
Hagg	Gupta	NA	NA	NA	NA
Chong	Hagg	0.4678043269637873	0.00199778	5.707013742112857e-12	1
Hagg	AD	NA	NA	NA	NA
Hagg	AD/dementia	NA	NA	NA	NA
Hagg	PD	NA	NA	NA	NA
Longchamps	Longchamps	NA	NA	NA	NA
Gupta	Longchamps	0.6322476460882235	0.004265562	2.546675883232274e-21	1
Longchamps	Chong	NA	NA	NA	NA
Longchamps	AD	NA	NA	NA	NA
Longchamps	AD/dementia	NA	NA	NA	NA
Longchamps	PD	NA	NA	NA	NA
Gupta	Hagg	0.6051652356408872	0.00302454	4.86606897842032e-22	1
Gupta	Gupta	NA	NA	NA	NA
Chong	Gupta	0.6245979077868701	0.003780186	4.8125372175027506e-23	1
AD	Gupta	-0.096243437	0.003649041	0.004196715	1
Gupta	AD/dementia	NA	NA	NA	NA
Gupta	PD	NA	NA	NA	NA
Chong	Longchamps	0.7827775340543209	0.0035931	3.790513071213671e-18	1
Chong	Chong	NA	NA	NA	NA
Chong	AD	NA	NA	NA	NA
Chong	AD/dementia	NA	NA	NA	NA
Chong	PD	NA	NA	NA	NA
AD	Hagg	-0.001093031	0.001890779	0.9767942469407964	0.25
AD	Longchamps	-0.081926725	0.002206192	0.007152226	1
AD	Chong	-0.019841997	0.002410246	0.5765873529778955	0.25
AD	AD	NA	NA	NA	NA
AD	AD/dementia	NA	NA	NA	NA
PD	AD	0.024539531	0.00113811	0.469068017	0.5
AD/dementia	Hagg	0.00458561	9.355665239299039e-4	0.8937599081897724	0.25
AD/dementia	Longchamps	-0.060251131	0.001102973	0.045636785649284264	1
AD/dementia	Gupta	-0.059682003	0.001668886	0.050620399	0.75
AD/dementia	Chong	-0.097293997	0.001186953	0.005300717	1
AD/dementia	AD	0.6591212818639658	0.004390632	2.6907026479502167e-19	1
AD/dementia	AD/dementia	NA	NA	NA	NA
PD	AD/dementia	-0.096347953	5.326884736001776e-4	0.002584595	1
PD	Hagg	-0.001864986	4.689221776718623e-4	0.9580429832261634	0.25
PD	Longchamps	-0.078415893	5.700801383738848e-4	0.006956519	1
PD	Gupta	-0.029818504	7.467358951170328e-4	0.2417817242903647	0.5
PD	Chong	-0.041122695	6.079843736261184e-4	0.21642860227651006	0.5
PD	PD	NA	NA	NA	NA
