Exposure ,Outcome,Confounder Beta ,Confounder SE ,Confounder Pvalue ,beta,SE,P-Value 
Chong ,Kunkle,0.06130001,0.0247002,0.01307348,0.08910439,0.21909947,0.68423963
Longchamps ,Kunkle,0.09354937,0.01085313,6.72E-18,0.1977775,0.08008168,0.01352275
Hagg ,Kunkle,0.07571022,0.01728622,1.19E-05,0.36632885,0.20408671,0.072659
Gupta,Kunkle,0.103222829,0.028668003,3.17E-04,0.071682126,0.218168265,0.742485649
Chong ,Bellenguez,0.01676784,0.02344441,0.47447498,-0.164588,0.03752289,1.15E-05
Longchamps ,Bellenguez,0.05600157,0.02104583,0.00779241,-0.1194457,0.03918483,0.00230167
Hagg ,Bellenguez,0.06425087,0.02303024,0.00527327,-0.1719041,0.04462549,0.00011709
Gupta,Bellenguez,0.082053579,0.034579811,0.017650224,-0.144457268,0.040102557,3.16E-04
Chong ,Nalls,0.03906676,0.03097022,0.20715405,0.07050052,0.03970649,0.07580856
Longchamps ,Nalls,0.04769571,0.023418262,0.041681246,-0.115494243,0.03816527,0.002476806
Hagg ,Nalls,0.08665504,0.01810874,1.71E-06,-0.0661082,0.03026058,0.02891588
Gupta,Nalls,0.098616709,0.028940485,6.55E-04,-0.072654037,0.020112882,3.03E-04
