Exposure,Outcome,Confounder Beta,Confounder SE,Confounder Pvalue,beta,SE,P-Value,OR,OR_lci95,OR_uci95,pval,pval_fdr
Chong,AD,0.06130001,0.0247002,0.01307348,0.08910439,0.21909947,0.68423963,1.09319476897205,0.7115350708787808,1.6795725914562127,0.68423963,0.742485649
Longchamps,AD,0.09354937,0.01085313,6.72e-18,0.1977775,0.08008168,0.01352275,1.2186912048599081,1.0416618882190276,1.425806463306646,0.01352275,0.023181857142857143
Hagg,AD,0.07571022,0.01728622,1.19e-5,0.36632885,0.20408671,0.072659,1.4424295076128046,0.9668797918973654,2.1518733785398783,0.072659,0.0871908
Gupta,AD,0.103222829,0.028668003,3.17e-4,0.071682126,0.218168265,0.742485649,1.074313793358895,0.7005232848704455,1.6475542662577258,0.742485649,0.742485649
Chong,AD/dementia,0.01676784,0.02344441,0.47447498,-0.164588,0.03752289,1.15e-5,0.8482431082663183,0.7880979739728826,0.9129783281819002,1.15e-5,1.38e-4
Longchamps,AD/dementia,0.05600157,0.02104583,0.00779241,-0.1194457,0.03918483,0.00230167,0.8874121929928908,0.8218084282044564,0.9582530103676796,0.00230167,0.004953612
Hagg,AD/dementia,0.06425087,0.02303024,0.00527327,-0.1719041,0.04462549,1.1709e-4,0.8420599228430917,0.7715374547490843,0.9190285050893768,1.1709e-4,7.0254e-4
Gupta,AD/dementia,0.082053579,0.034579811,0.017650224,-0.144457268,0.040102557,3.16e-4,0.8654918958126055,0.8000682201839484,0.9362654368962106,3.16e-4,9.48e-4
Chong,PD,0.008807662,0.024605198000000002,0.720373688,-0.078474622,0.033102343,0.017756037,0.9245255222425421,0.8664462401487892,0.9864979518303004,0.017756037,0.026634055499999996
Longchamps,PD,0.04769571,0.023418262,0.041681246,-0.115494243,0.03816527,0.002476806,0.8909257012815764,0.8267125944765186,0.96012642181492,0.002476806,0.004953612
Hagg,PD,0.08665504,0.01810874,1.71e-6,-0.0661082,0.03026058,0.02891588,0.9360295804116592,0.8821272695880552,0.9932255872951087,0.02891588,0.03855450666666667
Gupta,PD,0.098616709,0.028940485,6.55e-4,-0.072654037,0.020112882,3.03e-4,0.9299224931563134,0.8939769512683503,0.9673133541655202,3.03e-4,9.48e-4
