Exposure,Outcome,Confounder Beta,Confounder SE,Confounder Pvalue,beta,SE,P-Value
Kunkle,Chong,-0.1657931,0.05470169,0.00243859,0.05643937,0.0595852,0.34353458
Kunkle,Longchamps,-0.2615835,0.02518948,2.91E-25,0.16910703,0.04510117,0.00017718
Kunkle,Hagg ,-0.1275633,0.03227588,7.74E-05,0.05643505,0.14708663,0.70121134
Kunkle,Gupta,0.08961127,0.10991252,0.4149027,0.06117778,0.4495606,0.89175527
Bellenguez,Chong,-0.0367586,0.02208347,0.09600679,-0.1791542,0.13211769,0.17509285
Bellenguez,Longchamps,-0.0438324,0.01515913,0.00383423,0.0963933,0.04121331,0.01934125
Bellenguez,Hagg ,0.04108118,0.07707287,0.59402157,-0.1445992,0.29311448,0.62178666
Bellenguez,Gupta,-0.0278157,0.02051579,0.17515734,0.18044432,0.0875423,0.03928166
Nalls,Chong,-0.0324761,0.01400789,0.02042686,0.0718594,0.11168578,0.5199601
Nalls,Longchamps,0.01918364,0.01934268,0.3213059,0.1579555,0.05933222,0.00776268
Nalls,Hagg ,0.01287038,0.03105524,0.67855561,-0.0769709,0.10891532,0.47975033
Nalls,Gupta,-0.0326722,0.01147325,0.00440389,0.24608088,0.1938047,0.20417856
,,,,,,,
,,,,,,,
