Exposure,Outcome,Confounder Beta,Confounder SE,Confounder Pvalue,beta,SE,P-Value,CI_lci95,CI_uci95,pval,pval_fdr
AD,Chong,-0.1657931,0.05470169,0.00243859,0.05643937,0.0595852,0.34353458,-0.06034762199999999,0.173226362,0.34353458,0.67831272
AD,Longchamps,-0.2615835,0.02518948,2.91e-25,0.16910703,0.04510117,1.7718e-4,0.08070873679999999,0.25750532319999997,1.7718e-4,0.00212616
AD,Hagg,-0.1275633,0.03227588,7.74e-5,0.05643505,0.14708663,0.70121134,-0.2318547448,0.3447248448,0.70121134,0.70121134
AD,Gupta,-0.139638649,0.080707508,0.083597826,0.1930987,0.062757869,0.002091765,0.07009327676000003,0.31610412324,0.002091765,0.01255059
AD/dementia,Chong,-0.0367586,0.02208347,0.09600679,-0.1791542,0.13211769,0.17509285,-0.43810487240000007,0.07979647240000001,0.17509285,0.42022284
AD/dementia,Longchamps,-0.0438324,0.01515913,0.00383423,0.0963933,0.04121331,0.01934125,0.015615212399999995,0.1771713876,0.01934125,0.077365
AD/dementia,Hagg,0.04108118,0.07707287,0.59402157,-0.1445992,0.29311448,0.62178666,-0.7191035808,0.42990518079999995,0.62178666,0.67831272
AD/dementia,Gupta,0.054430061,0.017396106,0.001754831,0.226722166,0.157345076,0.149606389,-0.08167418296000001,0.53511851496,0.149606389,0.42022284
PD,Chong,-0.026133121,0.012999556,0.044398528,-0.067737724,0.122504552,0.580304178,-0.30784664592,0.17237119792,0.580304178,0.67831272
PD,Longchamps,0.01585535,0.03674974,0.666147634,-0.175225374,0.334318682,0.60019036,-0.8304899907199998,0.4800392427199999,0.60019036,0.67831272
PD,Hagg,0.01287038,0.03105524,0.67855561,-0.0769709,0.10891532,0.47975033,-0.2904449272,0.13650312720000002,0.47975033,0.67831272
PD,Gupta,0.030685617,0.010765351,0.00436635,-0.073919595,0.142732196,0.60453493,-0.35367469916,0.20583550915999999,0.60453493,0.67831272
