Exposure	Outcome	b	se	p	method	or	lower_bound	upper_bound	exposure	outcome
Chong	Bellenguez AD	0.175702354395264	0.0856404155052091	0.0402057380073021	Weighted median	1.1920831875191285	1.0078780095011066	1.4099546895255533	chong	AD/Dementia
Chong	Bellenguez AD	-0.00435237058728834	0.107624822167757	0.967742172194414	Egger	0.9956570872512616	0.8063019151704364	1.2294811865653548	chong	AD/Dementia
Chong	Bellenguez AD	0.0640060422771327	0.0799049002530244	0.423115582363132	IVW	1.066098840406689	0.9115511572261008	1.2468490972850277	chong	AD/Dementia
Chong	AD	0.0177688779646485	0.0428196242847896	0.678163548958636	Weighted median	1.0179276836820832	0.9359833551392608	1.1070461493967518	chong	AD
Chong	AD	0.0461192957422321	0.0670002930383827	0.491235747178869	Egger	1.047199329926967	0.918327426127464	1.194156251244615	chong	AD
Chong	AD	0.0127096650560348	0.0363592814987329	0.726670697241397	IVW	1.0127907761161603	0.9431268134222558	1.087600460073792	chong	AD
Chong	Nalls PD	0.0163645442536181	0.0437749289233375	0.708528035042649	Weighted median	1.0164991768054483	0.9329214089750928	1.107564438446434	chong	PD
Chong	Nalls PD	0.126583952259417	0.081569469900303	0.120697032219945	Egger	1.1349447283509069	0.967255877663701	1.3317050494671323	chong	PD
Chong	Nalls PD	0.0351383368788993	0.0425802566951061	0.409243268746888	IVW	1.035762983107697	0.9528298180543852	1.1259145514219435	chong	PD
Gupta	Bellenguez AD	-0.00374191854098606	0.0692698803635707	0.956919694435485	Weighted median	0.9962650737119984	0.8697835563820452	1.1411391832089393	gupta	AD/Dementia
Gupta	Bellenguez AD	0.0864007335501584	0.076817802520669	0.260695483194492	Egger	1.090243137780316	0.9378529055439252	1.2673950173323831	gupta	AD/Dementia
Gupta	Bellenguez AD	0.0872074165332286	0.0567870944019245	0.124614240727885	IVW	1.0911229731933882	0.9761926853945284	1.2195843714493917	gupta	AD/Dementia
Gupta	Kunkle AD	-0.00374191854098606	0.0692698803635707	0.956919694435485	Weighted median	0.9962650737119984	0.8697835563820452	1.1411391832089393	gupta	AD
Gupta	Kunkle AD	0.0864007335501584	0.076817802520669	0.260695483194492	Egger	1.090243137780316	0.9378529055439252	1.2673950173323831	gupta	AD
Gupta	Kunkle AD	0.0872074165332286	0.0567870944019245	0.124614240727885	IVW	1.0911229731933882	0.9761926853945284	1.2195843714493917	gupta	AD
Gupta	Nalls PD	-0.00374191854098606	0.0692698803635707	0.956919694435485	Weighted median	0.9962650737119984	0.8697835563820452	1.1411391832089393	gupta	PD
Gupta	Nalls PD	0.0864007335501584	0.076817802520669	0.260695483194492	Egger	1.090243137780316	0.9378529055439252	1.2673950173323831	gupta	PD
Gupta	Nalls PD	0.0872074165332286	0.0567870944019245	0.124614240727885	IVW	1.0911229731933882	0.9761926853945284	1.2195843714493917	gupta	PD
Hagg	Bellenguez AD	0.222041538393368	0.119998756166269	0.0642609120526867	Weighted median	1.2486232425905064	0.986930138522578	1.579706547690522	hagg	AD/Dementia
Hagg	Bellenguez AD	0.0386712144805767	0.155812493588744	0.803986848562125	Egger	1.039428678365003	0.7658865150041358	1.4106684949294124	hagg	AD/Dementia
Hagg	Bellenguez AD	0.0632909988847126	0.114501177732071	0.580431782020299	IVW	1.0653368059515085	0.8511802957350971	1.3333749803674693	hagg	AD/Dementia
Hagg	AD	0.0177688779646485	0.0423095450687408	0.674504981268011	Weighted median	1.0179276836820832	0.936919577343626	1.1059399272498511	hagg	AD
Hagg	AD	0.0461192957422321	0.0670002930383827	0.491235747178869	Egger	1.047199329926967	0.918327426127464	1.194156251244615	hagg	AD
Hagg	AD	0.0127096650560348	0.0363592814987329	0.726670697241397	IVW	1.0127907761161603	0.9431268134222558	1.087600460073792	hagg	AD
Hagg	PD	-0.00643130421085073	0.063289965958818	0.91906108985308	Weighted median	0.9935893323623488	0.8776743644196886	1.124813258089178	hagg	PD
Hagg	PD	0.0278661482603155	0.106096523939058	0.792821111970251	Egger	1.028258041082087	0.8352008545716689	1.2659405139045414	hagg	PD
Hagg	PD	0.0253151131828891	0.0608931817222648	0.677607697439852	IVW	1.025638261745877	0.910250426847132	1.1556532278712863	hagg	PD
Longchamps	Bellenguez AD	0.00468440132490641	0.0247337901910191	0.849784981504884	Weighted median	1.0046953902849922	0.957151275451255	1.0546011410620737	longchamps	AD/Dementia
Longchamps	Bellenguez AD	0.0173494328534822	0.0446705842774893	0.69773034827885	Egger	1.0175008084232706	0.9322027804892982	1.1106037407425375	longchamps	AD/Dementia
Longchamps	Bellenguez AD	-0.00138541792993371	0.0244662348154996	0.954843353375094	IVW	0.9986155413184488	0.9518581682996776	1.0476697396463115	longchamps	AD/Dementia
Longchamps	AD	0.0177688779646485	0.0422545830670998	0.674105955727881	Weighted median	1.0179276836820832	0.937020512931879	1.1058207957094113	longchamps	AD
Longchamps	AD	0.0461192957422321	0.0670002930383827	0.491235747178869	Egger	1.047199329926967	0.918327426127464	1.194156251244615	longchamps	AD
Longchamps	AD	0.0127096650560348	0.0363592814987329	0.726670697241397	IVW	1.0127907761161603	0.9431268134222558	1.087600460073792	longchamps	AD
Longchamps	Nalls PD	0.0163645442536181	0.0439960255220624	0.70992631043808	Weighted median	1.0164991768054483	0.9325172156890756	1.1080445047683416	longchamps	PD
Longchamps	Nalls PD	0.126583952259417	0.081569469900303	0.120697032219945	Egger	1.1349447283509069	0.967255877663701	1.3317050494671323	longchamps	PD
Longchamps	Nalls PD	0.0351383368788993	0.0425802566951061	0.409243268746888	IVW	1.035762983107697	0.9528298180543852	1.1259145514219435	longchamps	PD
