outcome,exposure,method,b,se,pval
bellenguez,chong,Inverse variance weighted (fixed effects),0.0389756545580306,0.05443992550798398,0.47402914344745273
bellenguez,chong,MR Egger,0.04632022424138109,0.14966592729366693,0.7580768067505425
bellenguez,chong,Weighted median,0.12298221210604005,0.08870043968598912,0.1655975398840571
bellenguez,chong,Weighted mode,0.17951543732044728,0.1340607768634676,0.18577558453067264
kunkle,chong,MR Egger,0.16575558134941965,0.2537016073472633,0.5160275852949884
kunkle,chong,Weighted median,0.07665059705164798,0.14638841154709842,0.6005490602108604
kunkle,chong,Inverse variance weighted (fixed effects),0.1079570861090055,0.09378244102824992,0.24967303490587037
kunkle,chong,Weighted mode,0.02909249475626474,0.20168196801957175,0.8857790842226602
nalls,chong,Inverse variance weighted (fixed effects),0.21093090639920517,0.14810233438787623,0.1543816252777249
nalls,chong,MR Egger,0.4612071458255575,0.898926081700021,0.6172198302300391
nalls,chong,Weighted median,0.00482819499974476,0.22689988951768603,0.9830231228629076
nalls,chong,Weighted mode,-0.05068726617521957,0.24943210150103065,0.8421165571232838
bellenguez,gupta,Inverse variance weighted (fixed effects),-0.01441981560033906,0.03438374364542379,0.6749392631321891
bellenguez,gupta,MR Egger,-0.02673662713203588,0.09386117433057184,0.7767543478390452
bellenguez,gupta,Weighted median,0.07249107518664345,0.05487912216257761,0.18652715837972897
bellenguez,gupta,Weighted mode,0.07214551317790452,0.08747256829863048,0.4127642610020701
kunkle,gupta,MR Egger,0.13101721305242098,0.16672012678636755,0.4349966750204829
kunkle,gupta,Weighted median,0.07037202843919974,0.09496321414774515,0.4586660703217117
kunkle,gupta,Inverse variance weighted (fixed effects),-0.05769793995890047,0.06076995965749494,0.34239261241798064
kunkle,gupta,Weighted mode,0.09475152268450591,0.15346063384312253,0.5392108974781772
nalls,gupta,Inverse variance weighted (fixed effects),0.1043668075084407,0.06367743431425758,0.101214918986071
nalls,gupta,MR Egger,0.12228486947157743,0.23499396728594793,0.6064994704242949
nalls,gupta,Weighted median,0.09991420682184496,0.09557217770956414,0.295823382747108
nalls,gupta,Weighted mode,0.05432396396516936,0.17026589989620264,0.7517592267824709
bellenguez,hagg,MR Egger,0.00579064653978504,0.24424982969416553,0.9811904366492435
bellenguez,hagg,Weighted median,0.1480066173579464,0.09694051586349749,0.1268162998411853
bellenguez,hagg,Inverse variance weighted (fixed effects),0.11489093780229476,0.05951990491076543,0.05357037330674726
bellenguez,hagg,Weighted mode,0.16966799802700905,0.1619971643644713,0.30040960017265633
kunkle,hagg,MR Egger,0.45808849283395736,0.3762125541056052,0.22957319556116584
kunkle,hagg,Weighted median,0.15855844768926697,0.15942426960035103,0.31994589646889704
kunkle,hagg,Inverse variance weighted (fixed effects),0.11941281898662544,0.10364036123365657,0.24924526087916304
kunkle,hagg,Weighted mode,0.22183290360201324,0.27913163257726137,0.43076837284774205
nalls,hagg,Inverse variance weighted (fixed effects),0.16357494370045708,0.10093603840183128,0.1051077048627324
nalls,hagg,MR Egger,0.1559498659526646,0.5500746250776494,0.7792196808802891
nalls,hagg,Weighted median,0.2160738216210459,0.14933095497954538,0.1479120601748692
nalls,hagg,Weighted mode,0.2893763616065157,0.2400245125832892,0.23925459778985136
bellenguez,longchamps,Inverse variance weighted (fixed effects),0.033080023238618,0.04597516657864464,0.4718209672192604
bellenguez,longchamps,MR Egger,0.1460426977886826,0.12250429396992704,0.23648418879345712
bellenguez,longchamps,Weighted median,0.09968289095314135,0.07710959418007327,0.19609994760470756
bellenguez,longchamps,Weighted mode,0.10075512998794256,0.09552247156838464,0.294446697685651
kunkle,longchamps,MR Egger,0.2044633164816918,0.1875405252197304,0.27861992007616465
kunkle,longchamps,Weighted median,0.16813606339922213,0.12721257383383797,0.1862701516530385
kunkle,longchamps,Inverse variance weighted (fixed effects),0.11003316371456644,0.08009883406873212,0.16952942655675207
kunkle,longchamps,Weighted mode,0.05900866695274587,0.1604276930359489,0.7138899605765305
nalls,longchamps,Inverse variance weighted (fixed effects),-0.02228943335758719,0.07049958744493248,0.7518780118093131
nalls,longchamps,MR Egger,0.2018073475090666,0.19025974837973905,0.29346479457564767
nalls,longchamps,Weighted median,-0.00348861142799331,0.11256997097001518,0.9752770327463716
nalls,longchamps,Weighted mode,-0.05338530698943344,0.13250998660586788,0.6885722229580273
