id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
8hWT0b,FucqRE,AD_kunkle,mtDNA_longchamps,Inverse variance weighted (fixed effects),89,0.10525331394691809,0.08013838054345256,0.18905002589445727,-0.051817911918248916,0.2623245398120851,1.1109920044833221,0.9495017440541662,1.29994835897369
8hWT0b,FucqRE,AD_kunkle,mtDNA_longchamps,MR Egger,89,0.23109352321463666,0.188762557850626,0.2241609129865318,-0.13888109017259032,0.6010681366018636,1.2599770710452034,0.8703315132754815,1.8240661119864021
8hWT0b,FucqRE,AD_kunkle,mtDNA_longchamps,Weighted median,89,0.16817145454503862,0.13039353066586562,0.19714706670355064,-0.08739986556005797,0.4237427746501352,1.183139447894386,0.9163106213080283,1.5276685881536534
8hWT0b,FucqRE,AD_kunkle,mtDNA_longchamps,Weighted mode,89,0.05702696522330264,0.17221051681124308,0.7413208395663493,-0.2805056477267338,0.3945595781733391,1.0586843576707181,0.7554016777279242,1.4837305796669784
8hWT0b,yT5T3Y,AD_bellenguez,mtDNA_longchamps,Inverse variance weighted (fixed effects),88,0.033080023238618,0.045975166578644644,0.47182096721926037,-0.057031303255525495,0.1231913497327615,1.0336332506121026,0.9445645009597982,1.1311008360840507
8hWT0b,yT5T3Y,AD_bellenguez,mtDNA_longchamps,MR Egger,88,0.14604269778868284,0.12250429396992703,0.23648418879345626,-0.09406571839237413,0.3861511139697398,1.157245598823956,0.9102229418866968,1.4713069890564463
8hWT0b,yT5T3Y,AD_bellenguez,mtDNA_longchamps,Weighted median,88,0.09968289095314137,0.07477576093900533,0.18250195555566023,-0.046877600487309073,0.2462433823935918,1.1048205139402978,0.9542041845700897,1.2792108730619849
8hWT0b,yT5T3Y,AD_bellenguez,mtDNA_longchamps,Weighted mode,88,0.10075512998794256,0.104726948713894,0.3386785639377994,-0.10450968949128966,0.3060199494671748,1.1060057809530144,0.9007660693996148,1.3580093978415686
kHNY4L,FucqRE,AD_kunkle,mtDNA_hagg,Inverse variance weighted (fixed effects),48,0.11941281898662551,0.10364036123365661,0.249245260879163,-0.08372228903134143,0.32254792700459245,1.1268350011675026,0.9196866276979762,1.3806410592643217
kHNY4L,FucqRE,AD_kunkle,mtDNA_hagg,MR Egger,48,0.45808849283395736,0.3762125541056052,0.22957319556116582,-0.2792881132130288,1.1954650988809434,1.5810489083695467,0.7563219654696272,3.3050946088870665
kHNY4L,FucqRE,AD_kunkle,mtDNA_hagg,Weighted median,48,0.15855844768926697,0.15629348592582884,0.31034817737340503,-0.14777678472535755,0.4648936801038915,1.171820412419034,0.8626236442271666,1.5918449351016173
