id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
axg0Pw,nq9o2u,AD_kunkle,mtDNA_longchamps,Inverse variance weighted (fixed effects),89,0.10525331394691809,0.08013838054345256,0.18905002589445727,-0.051817911918248916,0.2623245398120851,1.1109920044833221,0.9495017440541662,1.29994835897369
axg0Pw,nq9o2u,AD_kunkle,mtDNA_longchamps,MR Egger,89,0.23109352321463666,0.188762557850626,0.2241609129865318,-0.13888109017259032,0.6010681366018636,1.2599770710452034,0.8703315132754815,1.8240661119864021
axg0Pw,nq9o2u,AD_kunkle,mtDNA_longchamps,Weighted median,89,0.16817145454503862,0.1323563325112234,0.203872335732372,-0.09124695717695924,0.4275898662670365,1.183139447894386,0.9127922624620689,1.5335569885179674
axg0Pw,nq9o2u,AD_kunkle,mtDNA_longchamps,Weighted mode,89,0.05702696522330264,0.17399419454257148,0.7438775803356938,-0.28400165608013744,0.3980555865267427,1.0586843576707181,0.75276539806534,1.4889267918759657
axg0Pw,uGs85Z,AD_bellenguez,mtDNA_longchamps,Inverse variance weighted (fixed effects),88,0.033080023238618,0.045975166578644644,0.47182096721926037,-0.057031303255525495,0.1231913497327615,1.0336332506121026,0.9445645009597982,1.1311008360840507
axg0Pw,uGs85Z,AD_bellenguez,mtDNA_longchamps,MR Egger,88,0.14604269778868284,0.12250429396992703,0.23648418879345626,-0.09406571839237413,0.3861511139697398,1.157245598823956,0.9102229418866968,1.4713069890564463
axg0Pw,uGs85Z,AD_bellenguez,mtDNA_longchamps,Weighted median,88,0.09968289095314137,0.07411100419068473,0.17860959044709399,-0.04557467726060069,0.24494045916688342,1.1048205139402978,0.9554482496498377,1.2775452448321005
axg0Pw,uGs85Z,AD_bellenguez,mtDNA_longchamps,Weighted mode,88,0.10075512998794256,0.09772327261304971,0.30538688656509116,-0.09078248433363487,0.29229274430952,1.1060057809530144,0.9132163281554545,1.3394950898132176
Cs6jVC,nq9o2u,AD_kunkle,mtDNA_chong,Inverse variance weighted (fixed effects),62,0.10795708610900558,0.09378244102824995,0.24967303490587026,-0.07585649830636433,0.2917706705243755,1.113999938288761,0.9269492157980097,1.3387959570568182
Cs6jVC,nq9o2u,AD_kunkle,mtDNA_chong,MR Egger,62,0.16575558134941965,0.2537016073472633,0.5160275852949884,-0.33149956905121647,0.6630107317500558,1.1802845828999684,0.7178464655717298,1.9406262528879885
Cs6jVC,nq9o2u,AD_kunkle,mtDNA_chong,Weighted median,62,0.07665059705164798,0.14538118505601758,0.5980277891825021,-0.20829652565814646,0.3615977197614424,1.079664772426162,0.8119662321899509,1.435621303701382
Cs6jVC,nq9o2u,AD_kunkle,mtDNA_chong,Weighted mode,62,0.029092494756264742,0.1988613360254979,0.8841706136109178,-0.36067572385371116,0.41886071336624064,1.0295198152557332,0.6972050487799212,1.5202285925195147
Cs6jVC,uGs85Z,AD_bellenguez,mtDNA_chong,Inverse variance weighted (fixed effects),59,0.03897565455803064,0.05443992550798397,0.4740291434474523,-0.06772659943761794,0.1456779085536792,1.0397451702863205,0.9345159358362722,1.15682352507591
Cs6jVC,uGs85Z,AD_bellenguez,mtDNA_chong,MR Egger,59,0.046320224241380874,0.14966592729366687,0.7580768067505435,-0.24702499325420618,0.33966544173696794,1.0474097632569574,0.7811211705274249,1.404477632356628
Cs6jVC,uGs85Z,AD_bellenguez,mtDNA_chong,Weighted median,59,0.12298221210604005,0.08953411628842815,0.16957231534091735,-0.05250465581927913,0.2984690800313592,1.1308643050742386,0.9488499033718442,1.3477938628085324
Cs6jVC,uGs85Z,AD_bellenguez,mtDNA_chong,Weighted mode,59,0.17951543732044728,0.12076717093167884,0.14257386001100864,-0.05718821770564325,0.4162190923465378,1.1966373767995404,0.944416296768523,1.516218024247685
H6dajN,nq9o2u,AD_kunkle,mtDNA_hagg,Inverse variance weighted (fixed effects),48,0.11941281898662551,0.10364036123365661,0.249245260879163,-0.08372228903134143,0.32254792700459245,1.1268350011675026,0.9196866276979762,1.3806410592643217
H6dajN,nq9o2u,AD_kunkle,mtDNA_hagg,MR Egger,48,0.45808849283395736,0.3762125541056052,0.22957319556116582,-0.2792881132130288,1.1954650988809434,1.5810489083695467,0.7563219654696272,3.3050946088870665
H6dajN,nq9o2u,AD_kunkle,mtDNA_hagg,Weighted median,48,0.15855844768926697,0.15840503361007627,0.3168420411860715,-0.15191541818648252,0.46903231356501646,1.171820412419034,0.8590609386004223,1.5984466494298588
H6dajN,nq9o2u,AD_kunkle,mtDNA_hagg,Weighted mode,48,0.22183290360201324,0.27079416281362584,0.4168105215001967,-0.3089236555126934,0.7525894627167199,1.2483627635142516,0.7342368228203751,2.1224890129355325
H6dajN,uGs85Z,AD_bellenguez,mtDNA_hagg,Inverse variance weighted (fixed effects),47,0.11489093780229473,0.0595199049107654,0.05357037330674721,-0.0017680758228054566,0.23154995142739493,1.121751090261144,0.9982334863024646,1.2605522913912681
H6dajN,uGs85Z,AD_bellenguez,mtDNA_hagg,MR Egger,47,0.005790646539784997,0.24424982969416553,0.9811904366492439,-0.47293901966077945,0.48452031274034946,1.0058074447419574,0.6231680710193866,1.623396099616396
H6dajN,uGs85Z,AD_bellenguez,mtDNA_hagg,Weighted median,47,0.1480066173579464,0.0886605588538997,0.09504554916917568,-0.025768077995696997,0.32178131271158983,1.15952056930024,0.9745610855612983,1.3795830456907634
H6dajN,uGs85Z,AD_bellenguez,mtDNA_hagg,Weighted mode,47,0.16966799802700905,0.14466721435152297,0.24690738498687123,-0.11387974210197593,0.45321573815599403,1.1849113930892,0.892365263400837,1.5733635844607348
