id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
2hVH7v,c1x4B5,outcome,mtDNAcn__all,Inverse variance weighted (fixed effects),62,0.10795708610900558,0.09378244102824995,0.24967303490587026,-0.07585649830636433,0.2917706705243755,1.113999938288761,0.9269492157980097,1.3387959570568182
2hVH7v,c1x4B5,outcome,mtDNAcn__all,MR Egger,62,0.16575558134941965,0.2537016073472633,0.5160275852949884,-0.33149956905121647,0.6630107317500558,1.1802845828999684,0.7178464655717298,1.9406262528879885
2hVH7v,c1x4B5,outcome,mtDNAcn__all,Weighted median,62,0.07665059705164798,0.147566422308208,0.6034601107645166,-0.21257959067243967,0.3658807847757356,1.079664772426162,0.808495965023084,1.4417833498832051
2hVH7v,c1x4B5,outcome,mtDNAcn__all,Weighted mode,62,0.029092494756264742,0.2028072040732501,0.8864083993392556,-0.3684096252273054,0.4265946147398349,1.0295198152557332,0.6918337310890808,1.5320314728449178
2hVH7v,Gi1ahr,outcome,mtDNAcn__all,Inverse variance weighted (fixed effects),59,0.03897565455803064,0.05443992550798397,0.4740291434474523,-0.06772659943761794,0.1456779085536792,1.0397451702863205,0.9345159358362722,1.15682352507591
2hVH7v,Gi1ahr,outcome,mtDNAcn__all,MR Egger,59,0.046320224241380874,0.14966592729366687,0.7580768067505435,-0.24702499325420618,0.33966544173696794,1.0474097632569574,0.7811211705274249,1.404477632356628
2hVH7v,Gi1ahr,outcome,mtDNAcn__all,Weighted median,59,0.12298221210604005,0.08678443097607834,0.15645370950866525,-0.04711527260707349,0.2930796968191536,1.1308643050742386,0.9539774237872802,1.3405496237154162
2hVH7v,Gi1ahr,outcome,mtDNAcn__all,Weighted mode,59,0.17951543732044728,0.12634138427724417,0.160706983558909,-0.0681136758629513,0.42714455050384587,1.1966373767995404,0.9341542767477808,1.5328742234515356
jsilRi,c1x4B5,outcome,mtDNAcn,Inverse variance weighted (fixed effects),89,0.10525331394691809,0.08013838054345256,0.18905002589445727,-0.051817911918248916,0.2623245398120851,1.1109920044833221,0.9495017440541662,1.29994835897369
jsilRi,c1x4B5,outcome,mtDNAcn,MR Egger,89,0.23109352321463666,0.188762557850626,0.2241609129865318,-0.13888109017259032,0.6010681366018636,1.2599770710452034,0.8703315132754815,1.8240661119864021
jsilRi,c1x4B5,outcome,mtDNAcn,Weighted median,89,0.16817145454503862,0.12818109614983303,0.18952577716480673,-0.0830634939086341,0.41940640299871135,1.183139447894386,0.9202927123836195,1.5210583918873029
jsilRi,c1x4B5,outcome,mtDNAcn,Weighted mode,89,0.05702696522330264,0.158388496600518,0.719676259941646,-0.2534144881137126,0.36746841856031787,1.0586843576707181,0.7761461118055729,1.4440741918674047
jsilRi,Gi1ahr,outcome,mtDNAcn,Inverse variance weighted (fixed effects),28,0.0050592610570281814,0.06629580586322961,0.9391697328034633,-0.12488051843490185,0.1349990405489582,1.0050720807284867,0.8826023509951556,1.1445356862248313
jsilRi,Gi1ahr,outcome,mtDNAcn,MR Egger,28,0.0625036294238596,0.16612683599005618,0.7097909496867136,-0.2631049691166505,0.3881122279643697,1.0644983224264581,0.7686612073883163,1.474195220933388
jsilRi,Gi1ahr,outcome,mtDNAcn,Weighted median,28,0.08481604771965176,0.0972057795603577,0.3829132012320563,-0.10570728021864934,0.27533937565795286,1.0885168131304404,0.8996879659995526,1.3169775491564588
jsilRi,Gi1ahr,outcome,mtDNAcn,Weighted mode,28,0.04043569842496364,0.12398326795184957,0.7468341404346397,-0.20257150676066152,0.28344290361058877,1.0412643526119152,0.816628086081162,1.3276930716690445
vlPoJB,c1x4B5,outcome,mtDNAcn,Inverse variance weighted (fixed effects),48,0.11941281898662551,0.10364036123365661,0.249245260879163,-0.08372228903134143,0.32254792700459245,1.1268350011675026,0.9196866276979762,1.3806410592643217
vlPoJB,c1x4B5,outcome,mtDNAcn,MR Egger,48,0.45808849283395736,0.3762125541056052,0.22957319556116582,-0.2792881132130288,1.1954650988809434,1.5810489083695467,0.7563219654696272,3.3050946088870665
vlPoJB,c1x4B5,outcome,mtDNAcn,Weighted median,48,0.15855844768926697,0.15480570142948188,0.30572114879525664,-0.14486072711251752,0.46197762249105145,1.171820412419034,0.8651427756530206,1.5872097850270253
vlPoJB,c1x4B5,outcome,mtDNAcn,Weighted mode,48,0.22183290360201324,0.2532713077511675,0.38555488616754696,-0.27457885959027506,0.7182446667943015,1.2483627635142516,0.759892077108185,2.050830159013581
vlPoJB,Gi1ahr,outcome,mtDNAcn,Inverse variance weighted (fixed effects),47,0.11489093780229473,0.0595199049107654,0.05357037330674721,-0.0017680758228054566,0.23154995142739493,1.121751090261144,0.9982334863024646,1.2605522913912681
vlPoJB,Gi1ahr,outcome,mtDNAcn,MR Egger,47,0.005790646539784997,0.24424982969416553,0.9811904366492439,-0.47293901966077945,0.48452031274034946,1.0058074447419574,0.6231680710193866,1.623396099616396
vlPoJB,Gi1ahr,outcome,mtDNAcn,Weighted median,47,0.1480066173579464,0.09245995164770006,0.10942906736338791,-0.03321488787154572,0.3292281225874385,1.15952056930024,0.9673306696246394,1.3898948858429807
vlPoJB,Gi1ahr,outcome,mtDNAcn,Weighted mode,47,0.16966799802700905,0.1575928606503131,0.2872631670083101,-0.13921400884760465,0.47855000490162275,1.1849113930892,0.8700418118874356,1.6137328002970017
