id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
2hVH7v,c1x4B5,outcome,mtDNAcn__all,Inverse variance weighted (fixed effects),62,0.10795708610900558,0.09378244102824995,0.24967303490587026,-0.07585649830636433,0.2917706705243755,1.113999938288761,0.9269492157980097,1.3387959570568182
2hVH7v,c1x4B5,outcome,mtDNAcn__all,MR Egger,62,0.16575558134941965,0.2537016073472633,0.5160275852949884,-0.33149956905121647,0.6630107317500558,1.1802845828999684,0.7178464655717298,1.9406262528879885
2hVH7v,c1x4B5,outcome,mtDNAcn__all,Weighted median,62,0.07665059705164798,0.14146722192235248,0.5879384852517495,-0.2006251579161629,0.3539263520194589,1.079664772426162,0.818219077022322,1.4246502600014976
2hVH7v,c1x4B5,outcome,mtDNAcn__all,Weighted mode,62,0.029092494756264742,0.19395012252905872,0.8812595866900756,-0.35104974540069034,0.4092347349132198,1.0295198152557332,0.7039487347727322,1.5056651111765806
2hVH7v,Gi1ahr,outcome,mtDNAcn__all,Inverse variance weighted (fixed effects),59,0.03897565455803064,0.05443992550798397,0.4740291434474523,-0.06772659943761794,0.1456779085536792,1.0397451702863205,0.9345159358362722,1.15682352507591
2hVH7v,Gi1ahr,outcome,mtDNAcn__all,MR Egger,59,0.046320224241380874,0.14966592729366687,0.7580768067505435,-0.24702499325420618,0.33966544173696794,1.0474097632569574,0.7811211705274249,1.404477632356628
2hVH7v,Gi1ahr,outcome,mtDNAcn__all,Weighted median,59,0.12298221210604005,0.08541156887328503,0.14990200732000647,-0.04442446288559862,0.29038888709767874,1.1308643050742386,0.9565478522292717,1.3369473085017354
2hVH7v,Gi1ahr,outcome,mtDNAcn__all,Weighted mode,59,0.17951543732044728,0.13454714185685301,0.18734691372414444,-0.08419696071898464,0.4432278353598792,1.1966373767995404,0.9192501820866861,1.5577271992518922
jsilRi,c1x4B5,outcome,mtDNAcn,Inverse variance weighted (fixed effects),89,0.10525331394691809,0.08013838054345256,0.18905002589445727,-0.051817911918248916,0.2623245398120851,1.1109920044833221,0.9495017440541662,1.29994835897369
jsilRi,c1x4B5,outcome,mtDNAcn,MR Egger,89,0.23109352321463666,0.188762557850626,0.2241609129865318,-0.13888109017259032,0.6010681366018636,1.2599770710452034,0.8703315132754815,1.8240661119864021
jsilRi,c1x4B5,outcome,mtDNAcn,Weighted median,89,0.16817145454503862,0.12992963511552477,0.19555244168432503,-0.08649063028138992,0.42283353937146717,1.183139447894386,0.9171441421269836,1.5262802092563765
jsilRi,c1x4B5,outcome,mtDNAcn,Weighted mode,89,0.05702696522330264,0.16208699747649583,0.7258073279589503,-0.26066354983062917,0.37471748027723445,1.0586843576707181,0.7705401243632424,1.4545804089084604
jsilRi,Gi1ahr,outcome,mtDNAcn,Inverse variance weighted (fixed effects),28,0.0050592610570281814,0.06629580586322961,0.9391697328034633,-0.12488051843490185,0.1349990405489582,1.0050720807284867,0.8826023509951556,1.1445356862248313
jsilRi,Gi1ahr,outcome,mtDNAcn,MR Egger,28,0.0625036294238596,0.16612683599005618,0.7097909496867136,-0.2631049691166505,0.3881122279643697,1.0644983224264581,0.7686612073883163,1.474195220933388
jsilRi,Gi1ahr,outcome,mtDNAcn,Weighted median,28,0.08481604771965176,0.10074854279224883,0.3998669920648933,-0.11265109615315594,0.28228319159245946,1.0885168131304404,0.8934623381868184,1.3261542225408276
jsilRi,Gi1ahr,outcome,mtDNAcn,Weighted mode,28,0.04043569842496364,0.11941468841592207,0.7375184398652335,-0.1936170908702436,0.27448848772017087,1.0412643526119152,0.8239733507897395,1.3158574254630033
vlPoJB,c1x4B5,outcome,mtDNAcn,Inverse variance weighted (fixed effects),48,0.11941281898662551,0.10364036123365661,0.249245260879163,-0.08372228903134143,0.32254792700459245,1.1268350011675026,0.9196866276979762,1.3806410592643217
vlPoJB,c1x4B5,outcome,mtDNAcn,MR Egger,48,0.45808849283395736,0.3762125541056052,0.22957319556116582,-0.2792881132130288,1.1954650988809434,1.5810489083695467,0.7563219654696272,3.3050946088870665
vlPoJB,c1x4B5,outcome,mtDNAcn,Weighted median,48,0.15855844768926697,0.15792348244324453,0.31536862915357183,-0.15097157789949228,0.4680884732780262,1.171820412419034,0.8598721376842207,1.596938682837279
vlPoJB,c1x4B5,outcome,mtDNAcn,Weighted mode,48,0.22183290360201324,0.27501286001211694,0.4239441887067005,-0.317192302021736,0.7608581092257625,1.2483627635142516,0.7281907091149956,2.14011188253548
vlPoJB,Gi1ahr,outcome,mtDNAcn,Inverse variance weighted (fixed effects),47,0.11489093780229473,0.0595199049107654,0.05357037330674721,-0.0017680758228054566,0.23154995142739493,1.121751090261144,0.9982334863024646,1.2605522913912681
vlPoJB,Gi1ahr,outcome,mtDNAcn,MR Egger,47,0.005790646539784997,0.24424982969416553,0.9811904366492439,-0.47293901966077945,0.48452031274034946,1.0058074447419574,0.6231680710193866,1.623396099616396
vlPoJB,Gi1ahr,outcome,mtDNAcn,Weighted median,47,0.1480066173579464,0.0918808891032789,0.10721173880477113,-0.032079925284480254,0.32809316000037303,1.15952056930024,0.9684291770084562,1.3883183019986731
vlPoJB,Gi1ahr,outcome,mtDNAcn,Weighted mode,47,0.16966799802700905,0.15477854411496597,0.27869787004956115,-0.13369794843832428,0.4730339444923424,1.1849113930892,0.8748542757988669,1.6048558580690737
